NAME,population,median_household_income,state,county,tract
Census Tract 4085; Alameda County; California,5540.0,87292.0,06,001,408500
Census Tract 4086; Alameda County; California,6364.0,76375.0,06,001,408600
Census Tract 4087; Alameda County; California,7411.0,46786.0,06,001,408700
Census Tract 4088; Alameda County; California,7045.0,40981.0,06,001,408800
Census Tract 4089; Alameda County; California,4240.0,45045.0,06,001,408900
Census Tract 4090; Alameda County; California,4914.0,77284.0,06,001,409000
Census Tract 4091; Alameda County; California,2388.0,72697.0,06,001,409100
Census Tract 4092; Alameda County; California,3832.0,77339.0,06,001,409200
Census Tract 4093; Alameda County; California,5577.0,66288.0,06,001,409300
Census Tract 4094; Alameda County; California,5032.0,86286.0,06,001,409400
Census Tract 4095; Alameda County; California,4502.0,46750.0,06,001,409500
Census Tract 4096; Alameda County; California,5313.0,58750.0,06,001,409600
Census Tract 4097; Alameda County; California,5061.0,40870.0,06,001,409700
Census Tract 4098; Alameda County; California,3405.0,104125.0,06,001,409800
Census Tract 4099; Alameda County; California,3904.0,190813.0,06,001,409900
Census Tract 4100; Alameda County; California,3053.0,196500.0,06,001,410000
Census Tract 4101; Alameda County; California,2893.0,90388.0,06,001,410100
Census Tract 4102; Alameda County; California,3545.0,79675.0,06,001,410200
Census Tract 4103; Alameda County; California,3967.0,44167.0,06,001,410300
Census Tract 4104; Alameda County; California,4633.0,115268.0,06,001,410400
Census Tract 4105; Alameda County; California,3056.0,59402.0,06,001,410500
Census Tract 4201; Alameda County; California,2656.0,204352.0,06,001,420100
Census Tract 4202; Alameda County; California,3225.0,159563.0,06,001,420200
Census Tract 4203.01; Alameda County; California,2466.0,122578.0,06,001,420301
Census Tract 4203.02; Alameda County; California,2381.0,125486.0,06,001,420302
Census Tract 4204.01; Alameda County; California,1438.0,77083.0,06,001,420401
Census Tract 4204.02; Alameda County; California,1607.0,92000.0,06,001,420402
Census Tract 4205; Alameda County; California,2474.0,137000.0,06,001,420500
Census Tract 4206; Alameda County; California,3521.0,181678.0,06,001,420600
Census Tract 4211; Alameda County; California,2127.0,244276.0,06,001,421100
Census Tract 4212; Alameda County; California,3503.0,250001.0,06,001,421200
Census Tract 4213; Alameda County; California,4041.0,128125.0,06,001,421300
Census Tract 4214; Alameda County; California,1770.0,235000.0,06,001,421400
Census Tract 4215; Alameda County; California,4122.0,222321.0,06,001,421500
Census Tract 4216; Alameda County; California,3896.0,228547.0,06,001,421600
Census Tract 4217; Alameda County; California,3427.0,114725.0,06,001,421700
Census Tract 4218; Alameda County; California,2193.0,179868.0,06,001,421800
Census Tract 4219; Alameda County; California,4109.0,162143.0,06,001,421900
Census Tract 4220; Alameda County; California,2346.0,137841.0,06,001,422000
Census Tract 4221; Alameda County; California,3103.0,135000.0,06,001,422100
Census Tract 4222; Alameda County; California,3239.0,108523.0,06,001,422200
Census Tract 4223; Alameda County; California,3626.0,113257.0,06,001,422300
Census Tract 4224; Alameda County; California,3970.0,86250.0,06,001,422400
Census Tract 4225; Alameda County; California,4546.0,49286.0,06,001,422500
Census Tract 4227; Alameda County; California,5015.0,-666666666.0,06,001,422700
Census Tract 4228; Alameda County; California,9183.0,30833.0,06,001,422800
Census Tract 4229.01; Alameda County; California,1889.0,41902.0,06,001,422901
Census Tract 4229.02; Alameda County; California,2370.0,65285.0,06,001,422902
Census Tract 4230; Alameda County; California,4526.0,81759.0,06,001,423000
Census Tract 4231; Alameda County; California,4187.0,59643.0,06,001,423100
Census Tract 4232; Alameda County; California,2874.0,74861.0,06,001,423200
Census Tract 4233; Alameda County; California,3438.0,95927.0,06,001,423300
Census Tract 4234; Alameda County; California,5581.0,121122.0,06,001,423400
Census Tract 4235; Alameda County; California,3537.0,106964.0,06,001,423500
Census Tract 4236.01; Alameda County; California,2717.0,162386.0,06,001,423601
Census Tract 4236.02; Alameda County; California,6739.0,60625.0,06,001,423602
Census Tract 4237; Alameda County; California,3537.0,102566.0,06,001,423700
Census Tract 4238; Alameda County; California,3460.0,190625.0,06,001,423800
Census Tract 4239.01; Alameda County; California,2205.0,94563.0,06,001,423901
Census Tract 4239.02; Alameda County; California,1541.0,142206.0,06,001,423902
Census Tract 4240.01; Alameda County; California,3716.0,88018.0,06,001,424001
Census Tract 4240.02; Alameda County; California,2591.0,102826.0,06,001,424002
Census Tract 4251.01; Alameda County; California,1677.0,84680.0,06,001,425101
Census Tract 4251.02; Alameda County; California,3901.0,130555.0,06,001,425102
Census Tract 4251.03; Alameda County; California,3108.0,117688.0,06,001,425103
Census Tract 4251.04; Alameda County; California,4070.0,124043.0,06,001,425104
Census Tract 4261; Alameda County; California,6160.0,250001.0,06,001,426100
Census Tract 4262; Alameda County; California,4852.0,250001.0,06,001,426200
Census Tract 4271; Alameda County; California,4146.0,206118.0,06,001,427100
Census Tract 4272; Alameda County; California,4371.0,107535.0,06,001,427200
Census Tract 4273; Alameda County; California,5357.0,136681.0,06,001,427300
Census Tract 4276; Alameda County; California,4839.0,95691.0,06,001,427600
Census Tract 4277; Alameda County; California,4883.0,103333.0,06,001,427700
Census Tract 4278; Alameda County; California,4397.0,148542.0,06,001,427800
Census Tract 4279; Alameda County; California,4764.0,105836.0,06,001,427900
Census Tract 4280; Alameda County; California,2969.0,99956.0,06,001,428000
Census Tract 4281; Alameda County; California,4661.0,162350.0,06,001,428100
Census Tract 4282; Alameda County; California,6449.0,105398.0,06,001,428200
Census Tract 4283.01; Alameda County; California,6832.0,188419.0,06,001,428301
Census Tract 4283.02; Alameda County; California,6527.0,206780.0,06,001,428302
Census Tract 4284; Alameda County; California,4870.0,107083.0,06,001,428400
Census Tract 4285; Alameda County; California,3417.0,143529.0,06,001,428500
Census Tract 4286; Alameda County; California,3283.0,125446.0,06,001,428600
Census Tract 4287; Alameda County; California,5111.0,137292.0,06,001,428700
Census Tract 4301.01; Alameda County; California,6501.0,211029.0,06,001,430101
Census Tract 4301.02; Alameda County; California,2434.0,185956.0,06,001,430102
Census Tract 4302; Alameda County; California,7403.0,181250.0,06,001,430200
Census Tract 4303; Alameda County; California,4094.0,168750.0,06,001,430300
Census Tract 4304; Alameda County; California,2148.0,208929.0,06,001,430400
Census Tract 4305; Alameda County; California,6087.0,92139.0,06,001,430500
Census Tract 4306; Alameda County; California,6786.0,179605.0,06,001,430600
Census Tract 4307; Alameda County; California,3905.0,131250.0,06,001,430700
Census Tract 4308; Alameda County; California,5796.0,101784.0,06,001,430800
Census Tract 4309; Alameda County; California,5474.0,119028.0,06,001,430900
Census Tract 4310; Alameda County; California,3143.0,96250.0,06,001,431000
Census Tract 4311; Alameda County; California,3538.0,105329.0,06,001,431100
Census Tract 4312; Alameda County; California,5572.0,104646.0,06,001,431200
Census Tract 4321; Alameda County; California,3828.0,183735.0,06,001,432100
Census Tract 4322; Alameda County; California,3940.0,92702.0,06,001,432200
Census Tract 4323; Alameda County; California,4781.0,156531.0,06,001,432300
Census Tract 4324; Alameda County; California,6332.0,96500.0,06,001,432400
Census Tract 4325.01; Alameda County; California,4852.0,123232.0,06,001,432501
Census Tract 4325.02; Alameda County; California,5111.0,112483.0,06,001,432502
Census Tract 4326.01; Alameda County; California,4267.0,89630.0,06,001,432601
Census Tract 4326.02; Alameda County; California,3109.0,98571.0,06,001,432602
Census Tract 4327; Alameda County; California,2654.0,96481.0,06,001,432700
